[07:09:01] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:01] Inference Server running on: cuda:0
[07:09:01] Inference Server: 等待 Trainer 注入已完成手术的初始权重...
[07:09:16] Worker 0 started.
[07:09:17] Worker 1 started.
[07:09:17] Worker 2 started.
[07:09:18] Worker 3 started.
[07:09:18] Worker 4 started.
[07:09:19] Worker 5 started.
[07:09:19] Worker 6 started.
[07:09:20] Worker 7 started.
[07:09:20] Worker 8 started.
[07:09:21] Worker 9 started.
[07:09:21] Worker 10 started.
[07:09:22] Worker 11 started.
[07:09:22] Worker 12 started.
[07:09:23] Worker 13 started.
[07:09:23] Worker 14 started.
[07:09:24] Worker 15 started.
[07:09:24] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:24] Trainer running on: cuda:0
[07:09:24] Worker 16 started.
[07:09:25] Worker 17 started.
[07:09:25] ✅ 成功加载 PPO Elite 模型，开启 Self-Play 进阶训练！
[07:09:25] PPO Conditioned Training (Domain Randomization) Start.
[07:09:25] ✅ Inference Server: 初始权重接收完毕，开启高频推理循环！
[07:09:25] Worker 18 started.
[07:09:26] Worker 19 started.
[07:11:29] STEPS: 41119 | P_LOSS: 0.0042 | V_LOSS: 1.8386 | ENT: 0.0193 | REWARD: 0.18
[07:11:33] STEPS: 42143 | P_LOSS: 0.0043 | V_LOSS: 1.7820 | ENT: 0.0192 | REWARD: -0.75
[07:11:36] STEPS: 43172 | P_LOSS: 0.0028 | V_LOSS: 1.7516 | ENT: 0.0192 | REWARD: 0.04
[07:11:39] STEPS: 44200 | P_LOSS: 0.0009 | V_LOSS: 1.7979 | ENT: 0.0192 | REWARD: -0.40
[07:11:42] STEPS: 45230 | P_LOSS: 0.0049 | V_LOSS: 1.9810 | ENT: 0.0192 | REWARD: -0.44
[07:11:45] STEPS: 46262 | P_LOSS: 0.0515 | V_LOSS: 1.7015 | ENT: 0.0192 | REWARD: -0.59
[07:11:48] STEPS: 47289 | P_LOSS: 0.0033 | V_LOSS: 1.6055 | ENT: 0.0191 | REWARD: -0.39
[07:11:51] STEPS: 48313 | P_LOSS: 0.0067 | V_LOSS: 1.8066 | ENT: 0.0191 | REWARD: -0.45
[07:11:54] STEPS: 49344 | P_LOSS: 0.0356 | V_LOSS: 1.8837 | ENT: 0.0191 | REWARD: -0.76
[07:11:57] STEPS: 50376 | P_LOSS: 0.0019 | V_LOSS: 1.6564 | ENT: 0.0191 | REWARD: -0.56
[07:12:00] STEPS: 51404 | P_LOSS: 0.0086 | V_LOSS: 1.8393 | ENT: 0.0191 | REWARD: -0.70
[07:12:03] STEPS: 52435 | P_LOSS: 0.0045 | V_LOSS: 1.9152 | ENT: 0.0191 | REWARD: 0.22
[07:12:06] STEPS: 53459 | P_LOSS: 0.0083 | V_LOSS: 2.0186 | ENT: 0.0190 | REWARD: -0.08
[07:12:10] STEPS: 54484 | P_LOSS: 0.0043 | V_LOSS: 1.7939 | ENT: 0.0190 | REWARD: -0.00
[07:12:13] STEPS: 55508 | P_LOSS: 0.0082 | V_LOSS: 1.5899 | ENT: 0.0190 | REWARD: -0.60
[07:12:16] STEPS: 56533 | P_LOSS: 0.0091 | V_LOSS: 1.6347 | ENT: 0.0190 | REWARD: -1.06
[07:12:19] STEPS: 57568 | P_LOSS: 0.0107 | V_LOSS: 2.2261 | ENT: 0.0190 | REWARD: -0.52
[07:12:22] STEPS: 58592 | P_LOSS: 0.0069 | V_LOSS: 1.5327 | ENT: 0.0189 | REWARD: -0.30
[07:12:25] STEPS: 59616 | P_LOSS: 0.0129 | V_LOSS: 1.8835 | ENT: 0.0189 | REWARD: -0.21
[07:12:28] STEPS: 60640 | P_LOSS: 0.0043 | V_LOSS: 1.7705 | ENT: 0.0189 | REWARD: -0.32
[07:12:31] STEPS: 61669 | P_LOSS: 0.0106 | V_LOSS: 1.8320 | ENT: 0.0189 | REWARD: -0.40
[07:12:34] STEPS: 62697 | P_LOSS: 0.0029 | V_LOSS: 1.9419 | ENT: 0.0189 | REWARD: -0.68
[07:12:37] STEPS: 63721 | P_LOSS: 0.0055 | V_LOSS: 1.7366 | ENT: 0.0189 | REWARD: -0.53
[07:12:41] STEPS: 64748 | P_LOSS: 0.0071 | V_LOSS: 1.8587 | ENT: 0.0188 | REWARD: -0.73
[07:12:44] STEPS: 65774 | P_LOSS: 0.0047 | V_LOSS: 1.8101 | ENT: 0.0188 | REWARD: -0.23
[07:12:47] STEPS: 66801 | P_LOSS: 0.0054 | V_LOSS: 1.8727 | ENT: 0.0188 | REWARD: -0.10
[07:12:50] STEPS: 67829 | P_LOSS: 0.0045 | V_LOSS: 1.9221 | ENT: 0.0188 | REWARD: -0.66
[07:12:53] STEPS: 68855 | P_LOSS: 0.0059 | V_LOSS: 1.8627 | ENT: 0.0188 | REWARD: -0.89
[07:12:56] STEPS: 69881 | P_LOSS: 0.0162 | V_LOSS: 1.8560 | ENT: 0.0187 | REWARD: 0.11
[07:12:59] STEPS: 70906 | P_LOSS: 0.0044 | V_LOSS: 1.7807 | ENT: 0.0187 | REWARD: -0.76
[07:13:02] STEPS: 71934 | P_LOSS: 0.0075 | V_LOSS: 1.9358 | ENT: 0.0187 | REWARD: -0.37
[07:13:05] STEPS: 72961 | P_LOSS: 0.0027 | V_LOSS: 1.9439 | ENT: 0.0187 | REWARD: -0.70
[07:13:08] STEPS: 73987 | P_LOSS: 0.0076 | V_LOSS: 1.8504 | ENT: 0.0187 | REWARD: -0.67
[07:13:11] STEPS: 75011 | P_LOSS: 0.0055 | V_LOSS: 1.6861 | ENT: 0.0186 | REWARD: -1.01
